,,,,Apr-24,,
Grupo,Especie,Variedad/tipo,Unidad,min,max,Categoría
Frutas Hoja Caduca/Nativos,Pera,Packham's,$/kg,0,0,I
Frutas Hoja Caduca/Nativos,Pera,Packham's atm. contr.,$/kg,0,0,II
Frutas Hoja Caduca/Nativos,Pera,Otras,$/kg,0,0,I
Frutas Hoja Caduca/Nativos,Uva,Blanca,$/kg,84.5,96.7,II
Frutas Hoja Caduca/Nativos,Uva,Negra,$/kg,71.3,83.1,I
Frutas Hoja Caduca/Nativos,Uva,Rosada,$/kg,90.2,104,I
Frutas Hoja Caduca/Nativos,Uva,Moscatel,$/kg,78.1,92.3,E
Frutas Cítricas,Quinoto,,$/kg,,,I
Frutas Cítricas,Limón,,$/kg,30.8,38,I
Frutas Cítricas,Mandarina,Satsuma,$/kg,16.2,20.5,II
Frutas Cítricas,Mandarina,Común/Criolla,$/kg,0,0,I
Frutas Cítricas,Mandarina,Ellendale,$/kg,0,0,I
Frutas Cítricas,Mandarina,Híbrida/Bergamota,$/kg,0,0,II
Frutas Cítricas,Mandarina,Avana/Montenegrina,$/kg,0,0,I
Frutas Cítricas,Mandarina,Murcott,$/kg,0,0,II
Frutas Cítricas,Mandarina,Afourer,$/kg,0,0,I
Frutas Cítricas,Mandarina,Otras,$/kg,46.3,53.8,I
Frutas Cítricas,Naranja,Navel/Ombligo,$/kg,36.1,42.4,I
Frutas Cítricas,Naranja,Valencia,$/kg,45.5,54.1,I
Frutas Cítricas,Naranja,Otras,$/kg,0,0,I
Frutas Cítricas,Pomelo,Rosado,$/kg,64,74.4,II
Frutas Cítricas,Pomelo,Blanco,$/kg,42.1,52.1,II
Frutas de Huerta,Frutilla,,$/kg,398.4,451.2,II
Frutas de Huerta,Melón,Reticulado,$/kg,50.9,60,I
Frutas de Huerta,Melón ,Amarillo,$/kg,61.9,75,II
Frutas de Huerta,Sandía,Común,$/kg,22.6,30.9,II
Frutas de Huerta,Sandía,Baby,$/kg,22.9,33.6,I
